type,id,time,travelTime,carsInSegment,score
match,'002001,1267982398.234,17.094,1,0.23
match,'002001,1267982399.690,17.112,0,0.08
match,'003002,1267982440.343,54.826,10,0.24
match,'003002,1267982459.784,60.181,9,0.09
match,'003002,1267982466.445,65.017,8,0.26
match,'003002,1267982468.858,65.240,7,0.13
match,'003002,1267982470.159,65.332,6,0.06
match,'002001,1267982483.167,42.824,4,0.21
match,'002001,1267982485.621,25.837,3,0.17
match,'002001,1267982491.577,21.418,0,0.24
match,'003002,1267982512.207,99.551,10,0.01
match,'003002,1267982513.050,99.808,9,0.23
match,'003002,1267982515.624,98.468,8,0.10
match,'003002,1267982561.539,57.921,4,0.17
match,'003002,1267982569.738,61.309,3,0.05
match,'002001,1267982579.261,67.054,7,0.10
match,'002001,1267982580.019,66.969,6,0.22
match,'002001,1267982588.132,28.075,2,0.21
match,'003002,1267982643.324,100.291,5,0.21
match,'003002,1267982677.503,103.135,6,0.28
match,'003002,1267982708.906,92.820,7,0.10
match,'003002,1267982762.628,102.002,7,0.13
match,'003002,1267982767.811,66.419,5,0.06
match,'003002,1267982772.937,61.531,1,0.06
match,'002001,1267982784.811,22.183,2,0.18
match,'002001,1267982786.834,19.023,1,0.10
match,'002001,1267982790.164,17.227,0,0.27
match,'003002,1267982816.492,69.781,4,0.05
match,'002001,1267982816.897,14.836,1,0.16
match,'002001,1267982871.453,54.961,3,0.12
match,'002001,1267982876.207,46.125,2,0.25
match,'002001,1267982877.507,41.949,1,0.17
match,'003002,1267982896.081,83.259,3,0.05
match,'003002,1267982931.308,114.189,4,0.12
match,'003002,1267982968.120,65.512,2,0.25
match,'003002,1267982969.784,64.876,1,0.28
match,'002001,1267982970.480,74.399,7,0.28
match,'002001,1267982972.484,41.176,3,0.05
match,'003002,1267982999.804,93.428,4,0.16
match,'003002,1267983053.385,69.969,3,0.29
match,'002001,1267983060.433,58.512,3,0.16
match,'003002,1267983099.324,104.028,7,0.18
match,'003002,1267983341.300,60.205,3,0.19
match,'003002,1267983399.342,113.929,10,0.24
match,'003002,1267983423.269,92.838,9,0.20
match,'003002,1267983432.128,85.106,7,0.13
match,'003002,1267983438.492,60.373,6,0.09
match,'003002,1267983453.772,62.349,4,0.12
match,'003002,1267983456.433,63.083,3,0.14
match,'003002,1267983484.643,88.034,8,0.06
match,'003002,1267983486.128,86.996,7,0.03
match,'003002,1267983524.179,48.506,7,0.19
match,'003002,1267983548.105,54.777,2,0.07
match,'003002,1267983625.963,78.727,5,0.20
match,'003002,1267983652.018,60.183,1,0.02
match,'003002,1267983689.398,91.429,4,0.14
match,'003002,1267983725.749,67.943,3,0.14
match,'002001,1267983745.750,44.153,4,0.25
match,'002001,1267983749.007,30.993,3,0.23
match,'002001,1267983750.670,24.921,1,0.24
match,'003002,1267983751.855,64.447,2,0.05
match,'002001,1267983752.796,21.281,1,0.11
match,'003002,1267983755.984,56.967,1,0.08
match,'002001,1267983768.010,16.155,2,0.12
match,'002001,1267983771.542,15.558,1,0.14
match,'002001,1267983782.171,14.906,0,0.10
match,'003002,1267983842.722,110.036,9,0.11
match,'003002,1267983847.011,64.338,8,0.13
match,'002001,1267983861.045,17.045,2,0.19
match,'002001,1267983870.386,23.375,1,0.28
match,'003002,1267983884.527,98.434,14,0.09
match,'003002,1267983888.827,96.669,11,0.08
match,'003002,1267983891.503,97.784,11,0.12
match,'002001,1267983941.006,56.479,6,0.05
match,'002001,1267983945.144,24.599,2,0.25
match,'003002,1267983946.463,151.027,12,0.27
match,'003002,1267983967.303,82.200,3,0.16
match,'003002,1267983969.983,79.021,4,0.25
match,'003002,1267984034.210,91.115,12,0.24
match,'003002,1267984043.237,68.816,7,0.07
match,'003002,1267984045.187,68.382,6,0.05
match,'003002,1267984047.097,55.894,4,0.15
match,'002001,1267984054.983,110.663,14,0.27
match,'003002,1267984115.871,106.598,12,0.10
match,'003002,1267984117.959,106.192,11,0.02
match,'003002,1267984129.343,57.350,7,0.09
match,'002001,1267984134.335,65.878,9,0.13
match,'003002,1267984136.582,62.240,6,0.19
match,'003002,1267984138.370,61.394,5,0.20
match,'002001,1267984140.613,38.328,8,0.26
match,'003002,1267984144.928,63.717,4,0.15
match,'003002,1267984177.843,86.843,5,0.25
match,'003002,1267984219.199,73.674,5,0.18
match,'003002,1267984229.030,60.648,2,0.18
match,'002001,1267984245.097,67.254,10,0.05
